0.05 2 477.465 
0.15 10 341.046 
0.25 44 552.854 
0.35 79 509.726 
0.45 113 442.242 
0.55 187 490.582 
0.65 241 453.028 
0.75 336 474.64 
0.85 457 502.768 
0.95 531 467.775 

 
0.05 12 2864.79 
0.15 57 1943.96 
0.25 199 2500.41 
0.35 369 2380.87 
0.45 601 2352.1 
0.55 928 2434.55 
0.65 1221 2295.21 
0.75 1704 2407.1 
0.85 2189 2408.23 
0.95 2720 2396.13 

 
0.05 10007 2.389e+06 
0.15 69633 2.37481e+06 
0.25 190008 2.38742e+06 
0.35 369688 2.38531e+06 
0.45 609404 2.38499e+06 
0.55 911456 2.39114e+06 
0.65 1270770 2.38877e+06 
0.75 1689492 2.38661e+06 
0.85 2170321 2.38768e+06 
0.95 2709221 2.38664e+06 
